title;gmd_name;edition;isbn_issn;publisher_name;publish_year;collation;series_title;call_number;language_name;place_name;classification;notes;image;sor;authors;topics;item_code
Sumber Energi Alternatif;;;978-602-02-5401-2;PT. Refika Aditama;2024;;;Sat s;Indonesia;Bandung;658.02;TEKNIK;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/Cover%20buku%20Sumber%20Energi%20Alternatif_Perpustakaan%20Akti.jpg;; Utomo Satryo Budi;TEKNIK;TML160289
The One Minute Manager Meets the Monkey;;;978-1518-7849-65;PT. Elex Media  Komputindo;2014;;;Ber p;Indonesia;Jakarta;620.004;Self Improvement;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/download_Perpustakaan%20Akti.jpg;; Blanchard Ken;Self Improvement;TML161178
 A CAD Primer;;;978-623-02-4282-3;ICGtesting;2010;;;Bor a;English;USA;371.4;CAD;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/download%20(1)_Perpustakaan%20Akti.jpg;;Borthakur Gouri Goutam ;CAD;TML161304805
Best Practic: R&D for ESP in Vocational Education;;;978623026968;CV BUDI UTAMA;2022;;;Rad b;English;Yogyakarta;568 Nis b;Elektronic;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/cover%20buku%20Best%20Practic_Perpustakaan%20Akti.pdf;;Nurisma Radina Anggun ;Elektronic;TML161034824
Buku Ajar Teknik Logistik;;;9786237661344;Dee Publish;2023;;;568;Indonesia;Sleman;158. 1 Mul b;Logisti, Sistem penanganan Material, Sistem Pergudangan, Pengendalian Persediaan, Sistem Transportasi, Manajemen dan Integrasi Logistik;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-09%20at%2013.16.05%20(2)_Perpustakaan%20Akti.jpeg;;"Isrofi, Nisa ; Albana, Abduh Sayid; Rachmaniar, Destia Nur; Hajar, Granita; Rakhmaddian, Nicko Nur";Logisti, Sistem penanganan Material, Sistem Pergudangan, Pengendalian Persediaan, Sistem Transportasi, Manajemen dan Integrasi Logistik;-
Berani Berubah untuk Hidup yang Lebih Baik : semuanya Dimulai dari Diri Sendiri;;;9795262653;Checklist;2024;;;158.1;Indonesia;Sleman;657.45;Self Improvement, Mengenal kepribadian Diri, Perbaikan Diri;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-09%20at%2013.16.05%20(1)_Perpustakaan%20Akti.jpeg;;"Tary, Mulasih; Attafsir, Yazid";Self Improvement, Mengenal kepribadian Diri, Perbaikan Diri;Tml160942
Auditing Perusahaan Kecil;;;9786020316666;Sinar Grafika Offset;1995;;;657.45 Sof a;Indonesia;Jakarta;331.7;Akuntansi, Auditing perusahaan kecil, Sistem Pengawasan Perusahaan Kecil, Pelaksanaan Audit, Akuntan;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-09%20at%2013.16.04_Perpustakaan%20Akti.jpeg;;Harahap, Sofyan Syafri;Akuntansi, Auditing perusahaan kecil, Sistem Pengawasan Perusahaan Kecil, Pelaksanaan Audit, Akuntan;tml160320
Buku Saku Manajer : Petunjuk Praktis bagi Manajer & Supervisor dalam Menjalankan Manajemen;;;9792011838;Gramedia Pustaka Utama;2016;;;331.7 Arm b;Indonesia;Jakarta;005.432;Manajer, Organisasi, Leadership, ;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-09%20at%2013.49.03_Perpustakaan%20Akti.jpeg;;Armala;Manajer, Organisasi, Leadership, ;TML160901
Linux untuk Pemula;;;9789797694678;Elex Media Komputindo;1999;;;005.437 Flo l;Indonesia;Jakarta;332.106.8;Linux, Instalasi Lilo, Sistem Linux Crash, Window System;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-09%20at%2013.16.08%20(2)_Perpustakaan%20Akti.jpeg;;Katriena, Flory;Linux, Instalasi Lilo, Sistem Linux Crash, Window System;TML160127
Manajemen Perbankan Edisi Revisi;;;9781518784965;Rajawali Press;2015;;;332.106.8;Indonesia;Jakarta;620.004;"Bank; Perbankan, Manajemen";https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-09%20at%2014.01.58_Perpustakaan%20Akti.jpeg;;Kasmir;"Bank; Perbankan, Manajemen";TML161178
A CAD Primer : a version independent Autocad Tutorial for beginners;;;978623024282;CPSIA;0;;;620.004 Gou c;English;USA;371.4;Autocad;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-09%20at%2013.16.08%20(1)_Perpustakaan%20Akti.jpeg;;Borthakur, Gouri G.;Autocad; TML161304807
Best Practice: R&D for ESP in Vocational Education;;;9786235150093;Deepublish Publisher;2022;;;371.4 Rad b;English;Sleman;355;Bunga rampai penelitian pendidikan vokasi;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-09%20at%2013.16.08_Perpustakaan%20Akti.jpeg;;Nurisma, Radina Anggun;Bunga rampai penelitian pendidikan vokasi;TML161304995
Seni Memenangkan Apa Pun Ala Sun Tzu : Meraih Kesuksesan Apa pun dengan 36 Filosofi Kemenangan Sun Tzu;;;9783805312209;Anak Hebat Indonesia;2024;;;355 Wiw s;Indonesia;Bantul;796.815;Sun Tzu, Self Improvement, Perancangan Bisnis, Analisis SWOT;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-09%20at%2013.16.07_Perpustakaan%20Akti.jpeg;;Prasetiyo, Wiwid;Sun Tzu, Self Improvement, Perancangan Bisnis, Analisis SWOT;TML160327
Secrets of the Japanese Art of Warfare : from the School of Certain Victory;;;9786025480577;Turtle Publishing;2012;;;796.815 Sec t;English;Japan;728.8;Matrial Arts, Japan History;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-09%20at%2014.29.29_Perpustakaan%20Akti.jpeg;;Cleary, Thomas;Matrial Arts, Japan History;tml161304417
20 Desain Rumah Minimalis < 300 Juta;;;9789796612727;Charissa;2018;;;728.8 Dew d;Indonesia;Sleman;728.8;Desain Rumah;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-09%20at%2014.29.28_Perpustakaan%20Akti.jpeg;;"Rahayu, Dewi E.; W, Karina Widha";Desain Rumah;tml161304416
32 Desain Hunian Modern;;;9786027284975;Griya Kreasi;2017;;;728.8 Pro t;Indonesia;Jakarta;070.5;Desain Rumah;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-09%20at%2014.29.28%20(1)_Perpustakaan%20Akti.jpeg;;Probo Hindarto Writing Studio;Desain Rumah;tml161304688
Menulis dan Mengelola Jurnal Bereputasi;;;9794213128;Teknosain;2016;;;070.5 ari m;Indonesia;Yogyakarta;344.01;Penerbitan, jurnal, Menulis artikel ilmiah;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-09%20at%2014.29.28%20(2)_Perpustakaan%20Akti.jpeg;;Sutopo, Ariesto Hadi;Penerbitan, jurnal, Menulis artikel ilmiah;tml160766
Hukum Perburuhan Perjanjian Kerja edisi revisi;;;9786026564061;Raja Grafindo Persada;1995;;;344.01 Dju h;Indonesia;Jakarta;749.3;Hukum Perburuhan, kontrak Kerja;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-09%20at%2014.29.29%20(2)_Perpustakaan%20Akti.jpeg;;Djumadi;Hukum Perburuhan, kontrak Kerja;tml161304414
124 Rak & Lemari Pilihan;;;9786028997904;Griya Kreasi;2017;;;749.3 Gri s;Indonesia;Cibubur;813;Design Rak, Design Lemari;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-09%20at%2014.29.29%20(1)_Perpustakaan%20Akti.jpeg;;Griya Kreasi;Design Rak, Design Lemari;TML161106
Rindu;;;97860251001748;Republika;2014;;;813 Ter r;Indonesia;Jakarta;813;Novel;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-10%20at%2008.40.32_Perpustakaan%20Akti.jpeg;;Tere Liye;Novel;tml161304784
Hati Suhita;;;9786238829637;Telaga Aksara;2019;;;813 Khi h;Indonesia;Yogyakarta;813;Novel, Romance;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-10%20at%2008.40.32%20(1)_Perpustakaan%20Akti.jpeg;;Anis, Khilma;Novel, Romance;tml161304790
Negeri di Ujung Tanduk;;;9786238829644;Sabak Grip Nusantara;2023;;;813 Ter n;Indonesia;Jakarta;813;Novel;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-10%20at%2008.40.36%20(4)_Perpustakaan%20Akti.jpeg;;Liye, Tere;Novel;TML161304791
Daun yang Jatuh tak Pernah membenci Angin;;;979201697x;Sabak Grip Nusantara;2023;;;813 Ter d;Indonesia;Jakarta;714.5;Novel;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-10%20at%2008.40.37%20(1)_Perpustakaan%20Akti.jpeg;;Liye, Tere;Novel;TML160559
Loyalti Kesetian;;;9786206714206;Elex Media Computindo;2000;;;741.5  Son l;Indonesia;Jakarta;714.5;Cerita Bergambar, Sejarah Cina;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-10%20at%2008.40.33%20(1)_Perpustakaan%20Akti.jpeg;;Shouxiang, Song;Cerita Bergambar, Sejarah Cina;TML161304782
Komik Benyamin Biangkerok;;;978979227913;Falcon;2018;;;714.5 Bag k;Indonesia;Jakarta;813;Cerita Bergambar, Komik;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-10%20at%2008.40.38%20(2)_Perpustakaan%20Akti.jpeg;;"Bramanti, Bagus; Julius, Senoaji; Mutasi hilman; Widodo, Sugeng";Cerita Bergambar, Komik;TML161305078
Kau, Aku, dan Sepucuk Angpau Merah;;;9786239607470;Gramedia Pustaka Utama;2012;;;813 Ter k;Indonesia;Jakarta;813;Novel;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-10%20at%2008.40.39%20(1)_Perpustakaan%20Akti.jpeg;;Liye, Tere;Novel;TML161304799
Dia adalah Kakakku;;;9786239987855;Sabak Grip Nusantara;2023;;;813 Ter d;Indonesia;Jakarta;813;Novel;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-10%20at%2008.40.39_Perpustakaan%20Akti.jpeg;;Liye, Tere;Novel;tml161304798
si Putih;;;9786239196905;Sabak Grip Nusantara;2023;;;813 Ter p;Indonesia;Jakarta;650;Novel;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-10%20at%2008.40.38_Perpustakaan%20Akti.jpeg;;Liye, Tere;Novel;TML161304611
Budaya Kerja Kelas Dunia : Mengenal KAizen dan Omotenashi Jepang;;;9780374903077;Mulia Sejahtera Grafika;2019;;;650 Ind b;Indonesia;Bekasi;813.54;Budaya Kerja, Budaya Kerja Jepang, Pelayanan, Customer Service;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-10%20at%2008.40.35_Perpustakaan%20Akti.jpeg;;Nasution, Indra Kesuma;Budaya Kerja, Budaya Kerja Jepang, Pelayanan, Customer Service;tml161304768
Fresh Complaint: Stories;;;9786025254918;Straus and Giroux;2017;;;813.54 Jef f;English;Farrar;302.222;Management Complain, User satisfication;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-10%20at%2008.40.33_Perpustakaan%20Akti.jpeg;;Eugenides, Jeffrey;Management Complain, User satisfication;tml161304783
Gesture;;;9786238829682;Jendela;2021;;;302.222 Zak g;Indonesia;Klaten;813;Self Improvement;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-10%20at%2008.40.33%20(2)_Perpustakaan%20Akti.jpeg;;Ramdani, Zaka Putra;Self Improvement;TML161304797
Hello;;;9789790665781;Sabak Grip Nusantara;2024;;;813 Ter h;Indonesia;Jakarta;813;Novel;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-10%20at%2008.40.36%20(3)_Perpustakaan%20Akti.jpeg;;Liye, Tere;Novel;Tml161305140
My Twin Sister;;;9789797528898;Dar! Mizan;2011;;;813 Lin m;Indonesia;Bandung;813;Cerita Seri, Novel;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-10%20at%2008.40.36%20(1)_Perpustakaan%20Akti.jpeg;;Assyifa, Lintang;Cerita Seri, Novel;TML161305142
Tragedi Behel;;;9786239987800;Dar! Mizan;2009;;;813 Nab t;Indonesia;Bandung;813;Novel, Novel Anak;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-10%20at%2011.49.53_Perpustakaan%20Akti.jpeg;;Jamal, Nabila;Novel, Novel Anak;tml161304802
 Ceros dan Batozar;;;979694250x;Sabak Grip Nusantara;2023;;;813 Ter c;Indonesia;Jakarta;810;Novel;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-10%20at%2008.40.37%20(2)_Perpustakaan%20Akti.jpeg;;Liye, Tere;Novel;TML161305076
Chocolate for a Woman's Dreams;;;9786023855827;Bhuana Ilmu Populer;2003;;;810 Kay c;Indonesia;Jakarta;809.302;Chocolate for a Woman's Dream;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-10%20at%2008.40.38%20(1)_Perpustakaan%20Akti.jpeg;;Allenbaugh, Kay;Chocolate for a Woman's Dream;TML161304411
Probadi dan Martabat Buya Hamka;;;9786238138296;Mizan Publika;2018;;;809.232;Indonesia;Jakarta Selatan;813;Biografi, Buya Hamka;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-10%20at%2008.40.36_Perpustakaan%20Akti.jpeg;;Hamka, Rusydi;Biografi, Buya Hamka;TML161304820
Ketika Cinta Bersujud;;;;Bukunesia;2023;;;813 hud k;Indonesia;Sleman;;Novel;https://tmmin.sharepoint.com/sites/DATALAPTOP/Shared%20Documents/Apps/Microsoft%20Forms/FORM%20KOLEKSI%20PERPUSTAKAAN/Question/WhatsApp%20Image%202025-12-10%20at%2008.40.37_Perpustakaan%20Akti.jpeg;;Lazwadinur, Hudli;Novel;
